date,budgeting
2004-01-01,72
2004-02-01,79
2004-03-01,92
2004-04-01,83
2004-05-01,73
2004-06-01,78
2004-07-01,85
2004-08-01,72
2004-09-01,67
2004-10-01,78
2004-11-01,80
2004-12-01,76
2005-01-01,75
2005-02-01,83
2005-03-01,81
2005-04-01,88
2005-05-01,73
2005-06-01,67
2005-07-01,67
2005-08-01,68
2005-09-01,70
2005-10-01,69
2005-11-01,70
2005-12-01,53
2006-01-01,65
2006-02-01,63
2006-03-01,63
2006-04-01,66
2006-05-01,61
2006-06-01,54
2006-07-01,60
2006-08-01,53
2006-09-01,57
2006-10-01,66
2006-11-01,59
2006-12-01,58
2007-01-01,67
2007-02-01,64
2007-03-01,62
2007-04-01,64
2007-05-01,60
2007-06-01,58
2007-07-01,55
2007-08-01,56
2007-09-01,58
2007-10-01,68
2007-11-01,64
2007-12-01,56
2008-01-01,62
2008-02-01,57
2008-03-01,59
2008-04-01,64
2008-05-01,50
2008-06-01,52
2008-07-01,56
2008-08-01,52
2008-09-01,57
2008-10-01,63
2008-11-01,59
2008-12-01,54
2009-01-01,57
2009-02-01,60
2009-03-01,60
2009-04-01,61
2009-05-01,47
2009-06-01,51
2009-07-01,50
2009-08-01,49
2009-09-01,51
2009-10-01,54
2009-11-01,57
2009-12-01,48
2010-01-01,52
2010-02-01,54
2010-03-01,55
2010-04-01,58
2010-05-01,53
2010-06-01,47
2010-07-01,42
2010-08-01,45
2010-09-01,45
2010-10-01,48
2010-11-01,48
2010-12-01,43
2011-01-01,54
2011-02-01,50
2011-03-01,49
2011-04-01,54
2011-05-01,47
2011-06-01,44
2011-07-01,46
2011-08-01,47
2011-09-01,46
2011-10-01,49
2011-11-01,46
2011-12-01,41
2012-01-01,43
2012-02-01,44
2012-03-01,43
2012-04-01,48
2012-05-01,46
2012-06-01,38
2012-07-01,39
2012-08-01,36
2012-09-01,42
2012-10-01,43
2012-11-01,44
2012-12-01,40
2013-01-01,44
2013-02-01,44
2013-03-01,43
2013-04-01,47
2013-05-01,42
2013-06-01,38
2013-07-01,38
2013-08-01,39
2013-09-01,41
2013-10-01,40
2013-11-01,43
2013-12-01,41
2014-01-01,42
2014-02-01,43
2014-03-01,42
2014-04-01,50
2014-05-01,47
2014-06-01,42
2014-07-01,44
2014-08-01,38
2014-09-01,42
2014-10-01,45
2014-11-01,45
2014-12-01,41
2015-01-01,42
2015-02-01,43
2015-03-01,47
2015-04-01,51
2015-05-01,42
2015-06-01,42
2015-07-01,40
2015-08-01,40
2015-09-01,42
2015-10-01,46
2015-11-01,53
2015-12-01,43
2016-01-01,38
2016-02-01,43
2016-03-01,45
2016-04-01,51
2016-05-01,40
2016-06-01,34
2016-07-01,36
2016-08-01,38
2016-09-01,38
2016-10-01,42
2016-11-01,45
2016-12-01,43
2017-01-01,47
2017-02-01,52
2017-03-01,48
2017-04-01,54
2017-05-01,45
2017-06-01,37
2017-07-01,38
2017-08-01,37
2017-09-01,42
2017-10-01,52
2017-11-01,51
2017-12-01,40
2018-01-01,45
2018-02-01,49
2018-03-01,51
2018-04-01,57
2018-05-01,46
2018-06-01,36
2018-07-01,38
2018-08-01,41
2018-09-01,45
2018-10-01,51
2018-11-01,48
2018-12-01,44
2019-01-01,50
2019-02-01,47
2019-03-01,47
2019-04-01,55
2019-05-01,45
2019-06-01,41
2019-07-01,42
2019-08-01,40
2019-09-01,51
2019-10-01,50
2019-11-01,51
2019-12-01,47
2020-01-01,57
2020-02-01,53
2020-03-01,41
2020-04-01,48
2020-05-01,39
2020-06-01,34
2020-07-01,37
2020-08-01,37
2020-09-01,44
2020-10-01,45
2020-11-01,40
2020-12-01,39
2021-01-01,39
2021-02-01,37
2021-03-01,38
2021-04-01,43
2021-05-01,37
2021-06-01,32
2021-07-01,32
2021-08-01,32
2021-09-01,39
2021-10-01,46
2021-11-01,48
2021-12-01,39
2022-01-01,49
2022-02-01,53
2022-03-01,57
2022-04-01,69
2022-05-01,55
2022-06-01,44
2022-07-01,46
2022-08-01,49
2022-09-01,54
2022-10-01,59
2022-11-01,58
2022-12-01,56
2023-01-01,63
2023-02-01,61
2023-03-01,57
2023-04-01,63
2023-05-01,59
2023-06-01,48
2023-07-01,48
2023-08-01,48
2023-09-01,60
2023-10-01,65
2023-11-01,75
2023-12-01,68
2024-01-01,78
2024-02-01,83
2024-03-01,75
2024-04-01,81
2024-05-01,66
2024-06-01,53
2024-07-01,51
2024-08-01,56
2024-09-01,64
2024-10-01,69
2024-11-01,71
2024-12-01,71
2025-01-01,73
2025-02-01,76
2025-03-01,72
2025-04-01,77
2025-05-01,63
2025-06-01,66
2025-07-01,79
2025-08-01,84
2025-09-01,99
2025-10-01,93
2025-11-01,93
2025-12-01,100
