date,sculpture for sale
2004-01-01,0
2004-02-01,0
2004-03-01,0
2004-04-01,0
2004-05-01,0
2004-06-01,0
2004-07-01,0
2004-08-01,0
2004-09-01,0
2004-10-01,68
2004-11-01,0
2004-12-01,91
2005-01-01,0
2005-02-01,0
2005-03-01,0
2005-04-01,0
2005-05-01,52
2005-06-01,54
2005-07-01,0
2005-08-01,49
2005-09-01,45
2005-10-01,42
2005-11-01,47
2005-12-01,0
2006-01-01,0
2006-02-01,0
2006-03-01,42
2006-04-01,45
2006-05-01,0
2006-06-01,46
2006-07-01,0
2006-08-01,39
2006-09-01,40
2006-10-01,0
2006-11-01,32
2006-12-01,43
2007-01-01,33
2007-02-01,46
2007-03-01,40
2007-04-01,34
2007-05-01,34
2007-06-01,48
2007-07-01,46
2007-08-01,25
2007-09-01,30
2007-10-01,28
2007-11-01,51
2007-12-01,45
2008-01-01,43
2008-02-01,25
2008-03-01,40
2008-04-01,40
2008-05-01,45
2008-06-01,44
2008-07-01,46
2008-08-01,37
2008-09-01,46
2008-10-01,31
2008-11-01,39
2008-12-01,51
2009-01-01,43
2009-02-01,21
2009-03-01,37
2009-04-01,46
2009-05-01,57
2009-06-01,46
2009-07-01,45
2009-08-01,45
2009-09-01,64
2009-10-01,54
2009-11-01,40
2009-12-01,69
2010-01-01,50
2010-02-01,56
2010-03-01,55
2010-04-01,49
2010-05-01,70
2010-06-01,77
2010-07-01,69
2010-08-01,58
2010-09-01,54
2010-10-01,43
2010-11-01,51
2010-12-01,71
2011-01-01,67
2011-02-01,71
2011-03-01,66
2011-04-01,64
2011-05-01,72
2011-06-01,77
2011-07-01,62
2011-08-01,75
2011-09-01,77
2011-10-01,73
2011-11-01,69
2011-12-01,72
2012-01-01,66
2012-02-01,69
2012-03-01,76
2012-04-01,76
2012-05-01,81
2012-06-01,75
2012-07-01,74
2012-08-01,74
2012-09-01,74
2012-10-01,54
2012-11-01,65
2012-12-01,70
2013-01-01,71
2013-02-01,78
2013-03-01,85
2013-04-01,72
2013-05-01,87
2013-06-01,89
2013-07-01,86
2013-08-01,88
2013-09-01,74
2013-10-01,73
2013-11-01,84
2013-12-01,86
2014-01-01,75
2014-02-01,82
2014-03-01,77
2014-04-01,81
2014-05-01,87
2014-06-01,89
2014-07-01,79
2014-08-01,90
2014-09-01,76
2014-10-01,65
2014-11-01,79
2014-12-01,82
2015-01-01,80
2015-02-01,78
2015-03-01,64
2015-04-01,81
2015-05-01,87
2015-06-01,70
2015-07-01,75
2015-08-01,85
2015-09-01,85
2015-10-01,76
2015-11-01,74
2015-12-01,79
2016-01-01,92
2016-02-01,90
2016-03-01,80
2016-04-01,89
2016-05-01,97
2016-06-01,88
2016-07-01,88
2016-08-01,89
2016-09-01,89
2016-10-01,77
2016-11-01,77
2016-12-01,91
2017-01-01,95
2017-02-01,89
2017-03-01,79
2017-04-01,86
2017-05-01,81
2017-06-01,72
2017-07-01,79
2017-08-01,77
2017-09-01,70
2017-10-01,73
2017-11-01,71
2017-12-01,83
2018-01-01,76
2018-02-01,74
2018-03-01,74
2018-04-01,74
2018-05-01,89
2018-06-01,83
2018-07-01,94
2018-08-01,82
2018-09-01,77
2018-10-01,68
2018-11-01,77
2018-12-01,85
2019-01-01,81
2019-02-01,60
2019-03-01,69
2019-04-01,68
2019-05-01,83
2019-06-01,77
2019-07-01,64
2019-08-01,68
2019-09-01,68
2019-10-01,60
2019-11-01,65
2019-12-01,75
2020-01-01,70
2020-02-01,74
2020-03-01,47
2020-04-01,61
2020-05-01,75
2020-06-01,67
2020-07-01,82
2020-08-01,80
2020-09-01,79
2020-10-01,79
2020-11-01,78
2020-12-01,85
2021-01-01,79
2021-02-01,77
2021-03-01,73
2021-04-01,79
2021-05-01,84
2021-06-01,75
2021-07-01,64
2021-08-01,73
2021-09-01,81
2021-10-01,78
2021-11-01,80
2021-12-01,70
2022-01-01,69
2022-02-01,75
2022-03-01,74
2022-04-01,88
2022-05-01,77
2022-06-01,69
2022-07-01,76
2022-08-01,78
2022-09-01,68
2022-10-01,75
2022-11-01,68
2022-12-01,66
2023-01-01,78
2023-02-01,76
2023-03-01,69
2023-04-01,67
2023-05-01,68
2023-06-01,71
2023-07-01,74
2023-08-01,70
2023-09-01,69
2023-10-01,64
2023-11-01,73
2023-12-01,58
2024-01-01,70
2024-02-01,62
2024-03-01,69
2024-04-01,63
2024-05-01,60
2024-06-01,65
2024-07-01,59
2024-08-01,62
2024-09-01,73
2024-10-01,62
2024-11-01,70
2024-12-01,66
2025-01-01,69
2025-02-01,71
2025-03-01,66
2025-04-01,65
2025-05-01,78
2025-06-01,67
2025-07-01,80
2025-08-01,73
2025-09-01,67
2025-10-01,66
2025-11-01,99
2025-12-01,100
