date,Airbnb
2004-01-01,0
2004-02-01,0
2004-03-01,0
2004-04-01,0
2004-05-01,0
2004-06-01,0
2004-07-01,0
2004-08-01,0
2004-09-01,0
2004-10-01,0
2004-11-01,0
2004-12-01,0
2005-01-01,0
2005-02-01,0
2005-03-01,0
2005-04-01,0
2005-05-01,0
2005-06-01,0
2005-07-01,0
2005-08-01,0
2005-09-01,0
2005-10-01,0
2005-11-01,0
2005-12-01,0
2006-01-01,0
2006-02-01,0
2006-03-01,0
2006-04-01,0
2006-05-01,0
2006-06-01,0
2006-07-01,0
2006-08-01,0
2006-09-01,0
2006-10-01,0
2006-11-01,0
2006-12-01,0
2007-01-01,0
2007-02-01,0
2007-03-01,0
2007-04-01,0
2007-05-01,0
2007-06-01,0
2007-07-01,0
2007-08-01,0
2007-09-01,0
2007-10-01,0
2007-11-01,0
2007-12-01,0
2008-01-01,0
2008-02-01,0
2008-03-01,0
2008-04-01,0
2008-05-01,0
2008-06-01,0
2008-07-01,0
2008-08-01,0
2008-09-01,0
2008-10-01,0
2008-11-01,0
2008-12-01,0
2009-01-01,0
2009-02-01,0
2009-03-01,0
2009-04-01,0
2009-05-01,0
2009-06-01,0
2009-07-01,0
2009-08-01,0
2009-09-01,0
2009-10-01,0
2009-11-01,0
2009-12-01,0
2010-01-01,0
2010-02-01,0
2010-03-01,0
2010-04-01,0
2010-05-01,0
2010-06-01,0
2010-07-01,1
2010-08-01,0
2010-09-01,0
2010-10-01,0
2010-11-01,0
2010-12-01,0
2011-01-01,1
2011-02-01,1
2011-03-01,1
2011-04-01,1
2011-05-01,1
2011-06-01,2
2011-07-01,2
2011-08-01,3
2011-09-01,2
2011-10-01,2
2011-11-01,2
2011-12-01,2
2012-01-01,2
2012-02-01,2
2012-03-01,3
2012-04-01,3
2012-05-01,4
2012-06-01,4
2012-07-01,5
2012-08-01,5
2012-09-01,4
2012-10-01,4
2012-11-01,4
2012-12-01,4
2013-01-01,5
2013-02-01,5
2013-03-01,7
2013-04-01,6
2013-05-01,8
2013-06-01,8
2013-07-01,9
2013-08-01,9
2013-09-01,8
2013-10-01,8
2013-11-01,8
2013-12-01,7
2014-01-01,11
2014-02-01,10
2014-03-01,12
2014-04-01,15
2014-05-01,15
2014-06-01,16
2014-07-01,22
2014-08-01,19
2014-09-01,15
2014-10-01,16
2014-11-01,14
2014-12-01,15
2015-01-01,17
2015-02-01,18
2015-03-01,20
2015-04-01,23
2015-05-01,28
2015-06-01,32
2015-07-01,33
2015-08-01,33
2015-09-01,26
2015-10-01,24
2015-11-01,24
2015-12-01,24
2016-01-01,28
2016-02-01,31
2016-03-01,32
2016-04-01,32
2016-05-01,41
2016-06-01,49
2016-07-01,43
2016-08-01,40
2016-09-01,33
2016-10-01,33
2016-11-01,32
2016-12-01,32
2017-01-01,43
2017-02-01,46
2017-03-01,48
2017-04-01,48
2017-05-01,52
2017-06-01,56
2017-07-01,61
2017-08-01,55
2017-09-01,45
2017-10-01,42
2017-11-01,43
2017-12-01,45
2018-01-01,60
2018-02-01,57
2018-03-01,58
2018-04-01,57
2018-05-01,59
2018-06-01,67
2018-07-01,70
2018-08-01,61
2018-09-01,51
2018-10-01,48
2018-11-01,43
2018-12-01,46
2019-01-01,62
2019-02-01,62
2019-03-01,61
2019-04-01,59
2019-05-01,69
2019-06-01,81
2019-07-01,80
2019-08-01,72
2019-09-01,59
2019-10-01,60
2019-11-01,49
2019-12-01,53
2020-01-01,78
2020-02-01,70
2020-03-01,49
2020-04-01,30
2020-05-01,67
2020-06-01,86
2020-07-01,82
2020-08-01,77
2020-09-01,61
2020-10-01,56
2020-11-01,44
2020-12-01,67
2021-01-01,68
2021-02-01,71
2021-03-01,85
2021-04-01,80
2021-05-01,81
2021-06-01,86
2021-07-01,82
2021-08-01,61
2021-09-01,61
2021-10-01,57
2021-11-01,56
2021-12-01,60
2022-01-01,87
2022-02-01,89
2022-03-01,91
2022-04-01,92
2022-05-01,92
2022-06-01,95
2022-07-01,100
2022-08-01,86
2022-09-01,72
2022-10-01,67
2022-11-01,62
2022-12-01,63
2023-01-01,83
2023-02-01,83
2023-03-01,83
2023-04-01,79
2023-05-01,87
2023-06-01,97
2023-07-01,97
2023-08-01,82
2023-09-01,72
2023-10-01,68
2023-11-01,64
2023-12-01,64
2024-01-01,78
2024-02-01,83
2024-03-01,80
2024-04-01,77
2024-05-01,88
2024-06-01,88
2024-07-01,91
2024-08-01,77
2024-09-01,66
2024-10-01,61
2024-11-01,55
2024-12-01,57
2025-01-01,74
2025-02-01,70
2025-03-01,71
2025-04-01,70
2025-05-01,80
2025-06-01,84
2025-07-01,90
2025-08-01,73
2025-09-01,60
2025-10-01,58
2025-11-01,57
2025-12-01,59
